,PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2966,VÍRUS ZIKA - POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,,111,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2967,TRANSFUSÃO AMBULATORIAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2968,TRANSFUSÃO HOSPITALAR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2969,PLASMAFÉRESE TERAPÊUTICA - INCLUI CITAFÉRESE/HEMAFÉRESE TERAPÊUTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2970,SANGRIA TERAPÊUTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2971,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,Seg. Odontológico,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2972,SANGUE TOTAL RECONSTITUÍDO PARA EXSANGUÍNEO-TRANSFUSÃO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2973,"UNIDADE DE COMPONENTES SANGÜÍNEOS (CONCENTRADO DE HEMÁCIAS, PLAQUETAS OUGRANULÓCITOS) IRRADIADA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2974,UNIDADE DE CONCENTRADO DE GRANULÓCITOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2975,UNIDADE DE CONCENTRADO DE HEMÁCIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2976,UNIDADE DE CONCENTRADO DE HEMÁCIAS LAVADAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2977,UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCODEPLETADA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2978,UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCORREDUZIDA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2979,UNIDADE DE CONCENTRADO DE PLAQUETAS (DUPLA CENTRIFUGAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2980,UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCODEPLETADA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2981,UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCORREDUZIDA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2982,UNIDADE DE CONCENTRADO DE PLAQUETAS POR AFÉRESE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2983,UNIDADE DE CRIOPRECIPITADO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2984,UNIDADE DE PLASMA FRESCO CONGELADO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2985,AFÉRESE TERAPÊUTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2986,ANTI-HIV I E II POR MÉTODO IMUNOENZIMÁTICO OU QUIMIOLUMINESCÊNCIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2987,CONTAGEM DE CÉLULAS CD34 / CD45 POSITIVAS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2988,"DETECÇÃO DE HEMOGLOBINAS ANORMAIS (INVESTIGAÇÃO DE HEMOGLOBINA S E DE OUTRASHEMOGLOBINAS ANORMAIS NO DOADOR DE SANGUE)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2989,"DETERMINAÇÃO DO FATOR RH (D), INCLUINDO PROVA PARA D-FRACO NO SANGUE DO RECEPTOR",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2990,,RN,,,,,,,,,,,
2991,PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológico,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2992,,(alteração),,,,,,,,,,,
2993,,,,,,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,
2994,,,,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E
2995,DOAÇÃO AUTÓLOGA COM RECUPERAÇÃO INTRA-OPERATÓRIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,
2996,DOAÇÃO AUTÓLOGA PERI-OPERATÓRIA POR HEMODILUIÇÃO NORMOVOLÊMICA,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
2997,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
2998,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
2999,DOAÇÃO AUTÓLOGA PRÉ-OPERATÓRIA,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3000,DOAÇÃO DE COMPONENTES POR AFÉRESE,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3001,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3002,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3003,DOENÇA DE CHAGAS - TESTE IMUNOENZIMÁTICO DE ALTA SENSIBILIDADE E IMUNOFLUORESCÊNCIA,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3004,,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3005,RH(D) E PROVA DA ANTIGLOBULINA DIRETA),,,,,,,TERAPÊUTICOS,,,,,
3006,FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3007,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3008,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3009,FENOTIPAGEM DO SISTEMA RH-HR,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3010,"HEPATITE B - ANTI-HBC, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3011,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3012,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3013,"HEPATITE B - HBSAG, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3014,"HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3015,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3016,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3017,HTLV I E II - TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3018,,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3019,INCLUI TRATAMENTO ENZIMÁTICO (ELUIÇÃO E GEL),,,,,,,TERAPÊUTICOS,,,,,
3020,"RH (D), INCLUINDO PROVA PARA D-FRACO E PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS",Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3021,IRREGULARES ANTIERITROCITÁRIOS,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3022,,Seg. Ambulatorial,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3023,QUE INCLUAM UMA FASE ANTIGLOBULÍNICA,,,,,,,TERAPÊUTICOS,,,,,
3024,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,Seg. Odontológico,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3025,PLAQUETAS - PROVA CRUZADA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3026,"PROVA DE COMPATIBILIDADE ENTRE AS HEMÁCIAS DO DOADOR E O SORO DO RECEPTOR (PROVA DECOMPATIBILIDADE MAIOR)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3027,PROVAS PRÉ-TRANSFUSIONAIS: RETIPIFICAÇÃO ABO E RH DA BOLSA DE SANGUE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3028,SÍFILIS - TESTE TREPONÊMICO OU NÃO-TREPONÊMICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3029,TESTE DE COOMBS DIRETO E INDIRETO - INCLUI PESQUISA DE ANTICORPOS E COMPLEMENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3030,"TIPIFICAÇÃO ABO, INCLUINDO TIPAGEM REVERSA NO SANGUE DO RECEPTOR (SEM TIPAGEM REVERSAATÉ 4 MESES DE IDADE);",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3031,"CITOMEGALOVÍRUS APÓS TRANSPLANTE RIM OU DE MEDULA ÓSSEA POR REAÇÃO DE CADEIA DEPOLIMERASE (PCR) - PESQUISA QUANTITATIVA",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3032,"VÍRUS EPSTEIN BARR APÓS TRANSPLANTE RIM POR REAÇÃO DE CADEIA DE POLIMERASE (PCR) -PESQUISA QUANTITATIVA",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3033,EXSANGUÍNEO TRANSFUSÃO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3034,TRANSFUSÃO FETAL INTRA-UTERINA,,,,,HCO,,REF,,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3035,"CARIÓTIPO COM BANDAS, BIÓPSIA DE PELE OU OUTROS TECIDOS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3036,"CARIÓTIPO COM BANDAS, MATERIAL DE ABORTO OU NATIMORTO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3037,"CARIÓTIPO COM BANDAS, PARA DOENÇAS HEMATOLÓGICAS, SANGUE PERIFÉRICO, TECIDOS LINFÓIDESE MEDULA ÓSSEA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3038,"CARIÓTIPO COM BANDAS, SANGUE FETAL",,,,Seg. Ambulatorial,HCO,,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3039,"CARIÓTIPO COM BANDAS, SANGUE PERIFÉRICO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3040,"CARIÓTIPO COM BANDAS, VILOSIDADES CORIÔNICAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3041,CARIÓTIPO COM PESQUISA DE TROCA DE CROMÁTIDES IRMÃS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3042,CARIÓTIPO COM TÉCNICAS DE ALTA RESOLUÇÃO (ESTUDO EM PROMETÁFASE),,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3043,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,Seg. Odontológico,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3044,"CARIÓTIPO PARA SÍNDROMES DE QUEBRAS CROMOSSÔMICAS, SANGUE PERIFÉRICO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3045,"DETECÇÃO DE ANORMALIDADES DOS CROMOSSOMOS X OU Y (SANGUE PERIFÉRICO OU ESFREGAÇO DEMUCOSA BUCAL), POR FISH",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3046,"ESTUDO CITOGENÉTICO PARA DOENÇAS NEOPLÁSICAS MALIGNAS, DIVERSOS MATERIAIS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3047,"ESTUDO DE ALTERAÇÕES CROMOSSÔMICAS EM LEUCEMIAS POR FISH (FLUORESCENCE IN SITUHYBRIDIZATION)",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3048,"LÍQUIDO AMNIÓTICO, CARIÓTIPO COM BANDAS",,,,Seg. Ambulatorial,HCO,,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3049,"PESQUISA DE MICRODELEÇÕES/MICRODUPLICAÇÕES POR FISH (FLUORESCENCE IN SITU HYBRIDIZATION)- COM DIRETRIZ DE UTILIZAÇÃO",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,110,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3050,REARRANJO BCL6 3q27 (NHL) FISH,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3051,REARRANJO 8q24 FISH (MEDULA ÓSSEA),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3052,REARRANJO 8q24 FISH (SANGUE),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3053,"AMINOÁCIDOS URINÁRIOS OU PLASMÁTICOS, ANÁLISE QUANTITATIVA",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3054,"AVALIAÇÃO DE RISCO DE ANOMALIAS CROMOSSÔMICAS E/OU DEFEITOS DE FECHAMENTO DE TUBONEURAL",,,,Seg. Ambulatorial,HCO,,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3055,"CARBOIDRATOS URINÁRIOS, ANÁLISE QUALITATIVA",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3056,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA 1,4-ALFA-GLICOSIDASE EM FIBROBLASTOS",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3057,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-D-MANOSIDASE EM LEUCÓCITOS E FIBROBLASTOS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3058,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-GALACTOSIDASE EM LEUCÓCITOS, SORO EFIBROBLASTOS",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3059,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-L-FUCOSIDASE EM LEUCÓCITOS OU FIBROBLASTOS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3060,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-L-IDURONIDASE EM LEUCÓCITOS OU FIBROBLASTOS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3061,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-N-ACETILGLICOSAMINIDASE EM SORO OUFIBROBLASTOS",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,GENÉTICA BIOQUÍMICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3062,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3063,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ARILSULFATASE A EM LEUCÓCITOS E FIBROBLASTOS,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3064,,,,,,,,,TERAPÊUTICOS,,,,
3065,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3066,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ARILSULFATASE B EM FIBROBLASTOS,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3067,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GALACTOSIDASE EM LEUCÓCITOS OU,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3068,,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3069,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3070,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GLICOSIDASE EM LEUCÓCITOS OU FIBROBLASTOS,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3071,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GLICURONIDASE EM FIBROBLASTOS,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3072,,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3073,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3074,,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3075,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3076,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA IDURONATO 2-SULFATASE EM FIBROBLASTOS,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3077,,,,,,,,,TERAPÊUTICOS,,,,
3078,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA N-ACETILGALACTOSAMINA-6-SULFATASE EM,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3079,,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3080,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3081,DOSAGEM QUANTITATIVA DE ÁCIDOS GRAXOS DE CADEIA MUITO LONGA PARA O DIAGNÓSTICO DE,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3082,,Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3083,ERROS INATOS DO METABOLISMO (EIM),,,,,,,,TERAPÊUTICOS,,,,
3084,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3085,"GLICOSAMINOGLICANOS URINÁRIOS, DOSAGEM QUANTITATIVA OU ANÁLISE QUALITATIVA",Seg. Ambulatorial,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3086,,,,,,,,,TERAPÊUTICOS,,,,
3087,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
